MODL,REPL,MULT,DIST,TREE,ESTI_LNTH,ESTI_DEPTH,TRUE_LNTH,TRUE_DPTH
100M3,R0,1,JC,NJ,0.457798925736,0.457798925736,NA,NA
100M3,R0,1,JC,NJ,0.525644221783,0.983443147519,NA,NA
100M3,R0,1,JC,NJ,0.082084558024,1.06552770554,NA,NA
100M3,R0,1,JC,NJ,0.034224614077,1.09975231962,NA,NA
100M3,R0,1,JC,NJ,0.020269740389,1.12002206001,NA,NA
100M3,R0,1,JC,NJ,0.026380687233,1.14640274724,NA,NA
100M3,R0,1,JC,NJ,0.031728566859,1.1781313141,NA,NA
100M3,R0,1,JC,NJ,0.048417840173,1.22654915427,NA,NA
100M3,R0,1,JC,NJ,0.100813112314,1.32736226659,NA,NA
100M3,R0,1,JC,NJ,0.601767546029,1.92912981262,NA,NA
100M3,R0,1,JC,NJ,0.220158639544,2.14928845216,NA,NA
100M3,R0,1,JC,NJ,0.918561908292,2.84769172091,5.3462,92.6766
100M3,R0,1,JC,NJ,0.866613893884,2.19397616047,NA,NA
100M3,R0,1,JC,NJ,0.187987204412,1.41453635869,NA,NA
100M3,R0,1,JC,NJ,0.772780994494,2.18731735318,NA,NA
100M3,R0,1,JC,NJ,1.14736558028,3.33468293346,19.0262,150.4483
100M3,R0,1,JC,NJ,0.731332726935,2.14586908562,NA,NA
100M3,R0,1,JC,NJ,0.208883205187,2.35475229081,NA,NA
100M3,R0,1,JC,NJ,0.032400103015,1.21053141712,NA,NA
100M3,R0,1,JC,NJ,0.1266545873,1.33718600442,NA,NA
100M3,R0,1,JC,NJ,0.173274602597,1.51046060701,NA,NA
100M3,R0,1,JC,NJ,0.577315353275,2.08777596029,NA,NA
100M3,R0,1,JC,NJ,0.837293677179,2.92506963747,11.2355,25.8443
100M3,R0,1,JC,NJ,0.554351935028,2.06481254204,NA,NA
100M3,R0,1,JC,NJ,1.07699973673,3.14181227877,19.6458,71.0936
100M3,R0,1,JC,NJ,0.237409007537,1.57459501195,NA,NA
